title,five,four,three,two,one
*寧夏夜市必吃小吃總整理*劉芋仔.豬肝榮仔.圓環邊蚵仔煎米其林推薦、蚵仔煎、豆花推薦小吃精選-持續新增,6,10,11,3,4
"[桃園]桃園四大肉粽名店簡介,不管是想吃南部粽或北部粽,點進來看看就對了  by蛋拔",1,6,9,6,8
[中壢火車站美食]集善粽子★令人懷念的南部好滋味★,1,6,6,2,3
【食記】台中粽子8家（2017.05.13~2017.05.27）,0,4,8,6,7
2018世足賽》雙北14家轉播酒吧餐廳推薦，快揪團預訂一起加油！,0,0,5,2,4
台北市士林區-社中街132號無名豆漿,1,2,4,2,1
掉進南法風情的世外桃源 蒙馬特影像咖啡館 ＃陽明餐咖啡 ＃秘密後花園 ＃景觀咖啡 ＃商業攝影 ＃約會秘境,1,5,1,3,2
【台北車站美食】三多屋（爸爸嘴）超人氣排隊日式料理，近太原路/華陰街/市民大道,3,6,2,4,2
【新北|三峽】泰貳泰式料理 平價質感泰好吃,5,9,8,4,2
【宜蘭員山】林香游家肉粽-接棒傳承阿嬤40年古早味~麻油雞口味，包著整隻雞腿的雞腿粽~食尚玩家推薦,3,4,3,3,2
新竹美食甜點下午茶推薦 紅帽烘焙 藍莓塔超好吃!還有好多種水果塔! 搬家到新竹大遠百附近囉!!,10,13,4,12,5
萬華.西門町黑糖珍珠鮮奶『花羨沐嵐(台北西門店)』藝人NONO新開店/捷運西門站,0,2,4,4,2
高雄美食｜台南阿伯雞蛋糕-哈根達斯風味的貓掌冰燒雞蛋糕,1,2,2,3,2
【宜蘭員山】老媽媽豆腐乳烤香雞全餐‧手工黑豆醬油,1,1,5,8,2
"La mole,botega兩個義大利帥哥旁的女人~~蕭家小館",0,2,0,2,2
【台南】國華街小吃大彙集 Top10推薦美食 多數人都說必吃(20180617更新),0,1,27,10,0
【高雄鼓山】林皇宮LV森林百匯 - 氣派皇宮大啖波士頓龍蝦/天使紅蝦吃到飽,0,3,4,9,0
"台中<第五市場>麻豆碗粿/阿彬爌肉飯/太空紅茶冰/樂群冷凍芋,銅板價錢美食,大大滿足你的味蕾",0,0,4,0,0
2018-桃園海寶城複合式碳烤吃到飽-不用跑宜蘭就能吃到現流魚貨燒烤喔!,0,0,2,24,0
台北小巨蛋站-王記府城肉粽(八德路店），我愛吃的南部粽!,0,4,0,1,0
【台中。親子餐廳】X子(叉子餐廳)--台中輕井澤火鍋新品牌！價格親民、餐點好吃，還有大沙坑！,0,2,3,17,0
【美食筆記】花傳日本料理 鄰近鬧區不限時的巷弄美食,0,0,3,4,0
✿高雄✿ 天母早午餐南下展店 網美必拍！質感的老屋環境讓人太喜愛 除了全日早午餐外 樓上還有隱藏版小酒吧噢 ➜ Humble beginnings cafe-Kaohsiung亨寶咖啡,0,0,4,3,0
【台北 中山】教父牛排 Danny's Steakhouse～頂級牛排饗宴,0,1,3,3,0
●嘉義食記●好客燒烤/嘉義秀泰店/吃到飽推薦/超高cp值/嘉義燒肉/聚餐飽足好去處,0,0,6,7,0
"*台北公館美食餐廳推薦*瑪德蓮書店咖啡cafe madeleine~法式浪漫氣氛,優雅早午餐,下午茶(有菜單)",0,1,6,7,0
G7義式手工冰淇淋(提拉米蘇/開心果/焦糖奶酪/黑櫻桃果醬)清爽不奶膩．GELATO鮮奶製成的冰淇淋．全家便利商店．,0,0,0,3,0
【桃園中壢】MOFA魔法氛子☞平均不到百元的平價甜點在中原!超美星空鏡面蛋糕讓你吃掉全宇宙/中原夜市.中原大學甜點,0,1,4,3,0
來到新北蘆洲【必吃的六大美食】2018 口袋名單持續更新中～～,0,0,19,3,0
【高雄美食】I'm Kimchi。超長75雞SET 辣炒雞排、義大利麵、原味炸雞、海苔拌飯、脆薯 一次吃的到。高雄韓式料理。左營美食,0,0,4,1,0
【台中大甲美食】2018大甲媽祖遶境之大甲鎮瀾宮必吃美食懶人包攻略|大甲蔣公路觀光夜市、食尚玩家推薦、大甲宵夜、大甲早餐、大甲粉腸,0,0,18,8,0
【美食】台中西屯。茶六燒肉堂(朝富店) - 輕井澤旗下人氣燒肉，相見恨晚,0,5,4,4,0
台南美食-饗麻饗辣(永華旗艦店) 安格斯牛.關山香草豬 頂級饗宴精品火鍋吃到飽,0,8,10,4,0
植物更美味，健康愛地球&#128149; 蔬食+速食=潮食『扭登和 NewDanhurf』,0,4,5,6,0
台北雙連 既家常卻又特別-開封包公府的私房麵,0,3,1,4,0
燒瓶子大肆の鍋｜彰化員林平價奢華火鍋/CP值超高的午餐/晚餐/聚餐首選/新鮮海鮮/空間寬敞大氣/連停車都方便,0,3,15,8,0
[懶人包] 台南火車站/台南車站附近美食餐廳總整理~台南東區、中西區聚餐推薦！步行可到！(2018/5/29更新),0,67,0,8,0
桃園台茂購物中心@餐廳美食整理2017/10陸續更新中,0,0,37,2,0
【美食】高雄12間超人氣親子餐廳懶人包：分區介紹，爸爸媽媽出遊必讀！ ,0,26,13,1,0
吃/台北米其林必比登推介 一甲子劉山東牛肉麵,0,2,3,4,0
[高雄/三民區]喜憨兒創作料理 豪華吃到飽！ 炸物×燒烤×生魚片×軍艦壽司×鍋物×各式料理無限暢食 高雄必吃,0,5,10,0,0
【彰化伴手禮】中秋還沒到~已經被秒殺的蛋黃酥~彰化『不二家』~第一名的蛋黃酥~更新106年最新訊息!,0,0,6,2,0
食記＠高雄市鳳山區。鳳山美食攻略!!! 鳯山小吃懶人包 (2018持續更新中),0,0,104,0,0
【國父紀念館】★蘇阿姨比薩屋★有著滿滿牽絲起司的人氣披薩，厚皮份量超有飽足感｜東區美食 義式料理 人氣美食 硬骨魚覓食中,0,3,9,5,0
[芙食記]高雄三多 逐鹿日式炭火燒肉(三多店),0,2,4,10,0
台中火鍋推薦▶輕井澤鍋物(公益店)。火鍋套餐附白飯、雞蛋、蔬菜盤、主菜、紅茶、冰沙，午間限定4種火鍋只要$168!!!不收10%服務費!!!,0,12,11,0,0
海世界複合式碳烤 宜蘭吃到飽 海鮮牡蠣蝦子任你吃,0,4,10,3,0
◊ 內行才知道小吃店裡藏有媽媽味的豪邁餡料肉粽 這滷肉太浮誇惹！➩ 吳媽媽肉粽小吃店 國泰市場,0,0,6,2,0
"【九犇日式燒肉】根本就是《彰化版屋馬》啊! 但是價錢更便宜,平日中午還有超優惠的$599雙人套餐 巧克力和牛超好吃,一定要加點!",0,5,11,10,0
京都  抵達京都第一餐。岡北 Okakita 烏龍X蕎麥麵,0,3,1,4,0
[南崁菜鳥覓食記]雅加達早餐店~恰恰的香酥口味蛋餅,0,2,0,5,0
【台北】雲之南麗江斑魚火鍋 ~ 桌邊現片!! 老饕們不能錯過的鮮魚料理火鍋~,0,6,11,9,0
「新北板橋吃喝」東北有三寶 ～激推水餃＆牛肉麵＠大東北牛肉麵水餃,0,2,4,1,0
20180608@台北名流水岸涮涮鍋 高檔頂級鍋物推荐,0,2,3,4,0
[ 台中麗寶餐廳 ] 在麗寶outlet mall 要吃什麼呢？餐廳店名，價位，菜單~,0,6,1,1,0
" 文慶雞 新加坡文東記台北直營店,忠孝復興吃海南雞飯啦!!",0,0,1,1,0
2018/4/6-9環島行~<嘉義>生意很好的「小間食堂」，想吃要趁早！,0,3,4,4,0
【食記】高雄.Thesungcafe．老宋咖啡,0,3,2,1,0
【肉多多火鍋-肉品專賣店】比臉大的肉盤，湯頭也很棒(近捷運台北小巨蛋站),3,6,21,11,4
【新北三重】新開幕樂福親子餐廳精緻創意料理~全台唯一室內摩天輪！還有摩天輪兒童套餐~決明子沙坑/廚具/扮家家酒~LOVE/蘆洲家樂福/捷運徐匯中學站附近/素食套餐/包場生日派對,6,28,58,40,9
【中壢】非常道地又美味的南部粽＆好有料的好吃碗粿 「集善粽子」,0,5,16,9,1
台北東區燒烤吃到飽→燒肉殿~頂級現切牛肉MIX超澎湃的海鮮大餐，啤酒無限暢飲！,2,13,32,24,19
【高雄/韓式料理】◆娘子居食屋◆韓式烤肉大口吃아내마누라(高雄美術館加盟店),1,6,30,11,4
[火鍋] 台北‧信義‧海底撈火鍋台灣一號店‧ATT 4 FUN‧捷運世貿101站‧,3,4,1,1,0
【宜蘭市美食】城隍早餐-控肉飯、生煎包,0,2,8,4,1
【台北】採用黑金色系、低調奢華佈置風格的TUTTO Fresco 翡冷翠義式餐廳(台北車站店),2,4,22,17,4
<新北市>板橋車站好逛好吃好享受 2017更新篇,0,7,26,10,3
【食記】高雄☼三民 永心鳳茶**用高腳杯時尚品台灣茶**,2,7,21,11,3
台中嚴選１０間咖啡館｜在地人私心推薦：沒有旅行的日子裡，我們在咖啡裡想著下一趟旅行～,2,7,48,17,0
[台北|中正區。親子餐廳農人餐桌],0,2,11,9,3
❙ 台北中山區 ❙ 人和園雲南菜。老字號雲南菜餐廳，有不少必點的經典菜色！（內有詳細菜單）,1,5,14,5,0
【新竹|南寮漁港】老漁港新海鮮餐廳 ♥ 美式水桶海鮮 大水桶上菜 用手抓 大口吃海鮮就對了 附兒童遊戲室,3,8,35,20,2
【食記】台北民權西路- 充滿防彈跟阿米的Fans Cafe,2,5,25,15,7
【食記】新竹．竹北．異人館咖啡部屋(超強大複合式餐飲最新選擇),2,22,72,50,17
《新北❤️新店》碧潭水灣餐廳&#127756;在峇里島風水岸餐廳，看新店溪夜景享受悠閒人生～,1,3,7,8,1
【冬季就是要來金澤品嚐のど黒（紅喉魚）的美味：のど黒（紅喉魚）飯本鋪いたる(ITARU)】,1,4,11,3,0
2018曼谷海鮮燒烤吃到飽大比拼！,1,7,33,13,1
【吃 台北】君品飯店《頤宮》爆炸好吃的米其林三星粵菜港點,1,7,19,9,4
北桃園第一間【友善小農合作商店】小農飲品就在「大業蔬菜1店旁｣,0,2,7,5,1
【中肯‧食記】樂。野食‧捷運忠孝復興站｜東區靜巷內文青咖啡廳‧創意早午餐‧風味精釀啤酒！,1,7,17,4,0
【宜蘭五結】饗宴鐵板燒 無菜單料理 新鮮在地漁貨 互動式鐵板燒寓教於樂好有趣 羅東/五結,1,5,18,5,1
【台北美食】三角冰 ~ 景美人氣冰品店❤️宇治金時/珍珠奶奶冰 - 捷運萬隆站,3,7,10,3,0
永和美食┃阿章土魠魚羹。在地人不想外流的隱藏版美食。土魠魚羹吃過就喜歡,2,3,6,5,1
嘉義美食小吃地圖十七連發,3,17,41,17,3
美食►桃園┃櫻桃庄海鮮創意料理┃桃園櫻桃鴨，不用跑到宜蘭就可以品嘗！,1,5,10,8,2
【城前料理亭】現烤鰻魚飯，台南中西區日本料理，日本進口生魚片，商業午餐可選超值套餐,3,9,23,12,2
【食記】高雄　肉多多火鍋(左營明誠)~＊暴龍級特餐！肉多到吃不完之大食量肉控必訪！,2,9,30,11,3
【東食】挑戰胃極限！曾拌麵「8種口味」大評比　猜猜誰才是乾拌麵之王❤,5,17,27,5,0
【食．花蓮 - 花蓮市】炸蛋蔥油餅 黃車VS藍車極邪惡小吃大對決,3,9,19,6,0
【華陰街】三多屋爸爸嘴 - 豪華生魚片蓋飯,1,3,6,4,2
高雄左營｜茶六燒肉堂,1,11,28,21,7
〈食記〉→起家雞Cheogajip│超人氣韓式炸雞專賣店│韓國道地老字號│捷運國父紀念館美食│排隊人潮爆滿│東區韓式料理餐廳〈大安區〉,1,3,14,7,2
[瑞芳│小吃特輯] 瑞芳必吃美食推薦，不踩雷小吃 TOP 9,2,14,48,15,4
【台北】內湖早午餐咖啡廳 / THE ANTIPODEAN / 隱藏住宅區澳洲風格 / 捷運港墘站美食,3,8,30,13,2
[團購]cream tea 玫瑰造型家常檸檬塔與超好吃的司康,0,7,29,12,1
椰蘶椰子雞鍋物-YATSUGI/台北火鍋/椰子水做成的火鍋(捷運科技大樓),2,8,29,11,0
「好好鍋優質大盤肉-美術店」好美好美的肉 ♡,0,1,8,8,5
（台南永康）前味火烤吃到飽 - 火烤兩吃299+10%吃爽爽!!!,1,11,38,11,3
開箱*【酷覓星＊香鬆起士糙米捲】殺手級的台灣版的泰國捲、、、,2,8,18,6,3
吃。高雄｜高醫美食正統台南肉粽「蔡台南肉粽」。,0,5,9,5,1
樓梯louti - 仁武旗艦店 仁武早午餐 學生小資族最愛的平價美味,0,6,31,32,10
【新北 板橋站美食】燒肉粽大賣場,0,7,30,12,3
【台南】皇冠假日酒店*元素Buffet自助餐廳*假日龍蝦吃到飽,0,5,17,15,4
[台北松山]O.L.O CAFÉ(台北東旅飯店1樓)|舒食．咖啡．下午茶|質感工業風咖啡廳，不限時免服務費，提供免費wifi和插座(近捷運南京三民站),0,7,20,12,3
【台北美食】井上禾食 | 用料新鮮豐盛，隱身巷弄內超高CP值生魚片丼飯。六張犁站,12,24,10,6,0
台中美食|黑祖 黑糖鮮奶/貓奴燒 專賣，貓咪造型雞蛋糕，呆萌可愛|一中商圈|中友百貨,1,10,4,0,0
【食記】｛高雄。三民區｝上班族、學生都愛的第一名火烤兩吃,4,10,9,7,0
《食記》台北中山【天鍋宴大直店3.0】大直高貴不貴涮涮鍋X招牌雙人套餐海鮮肉片雙滿足X劍南路捷運站,10,23,24,9,0
【中山 松江南京】樂口福 LoCo Food ➤ (2018.01.19 更新內含套餐價目)台北排隊美食 ~ 網路上評價兩極 ~其實只要注意幾個重點就能享受美好的早午餐喔!,2,19,13,8,0
【葷食】捷運西門站 ♪ 平價海味 ✦三味食堂✦ 員工四聲道 ft. 平民美食餵飽你的胃 ♥,14,13,6,3,0
【新北。貢寮】92K週末食堂。綠色魚子醬。沖繩海葡萄丼飯。92K季節私房菜。澳洲藍帶甜點。台2線私房美食,6,9,18,2,0
肉多多火鍋-中科店 #台中#西屯區#火鍋#鍋物#深夜食堂#麻辣鍋#喜愛吃肉的朋友們有福拉，肉多多的份量絕對讓你大飽口福！,3,21,15,2,0
台北敦化店 漢來海港城～人滿為患的自助吃到飽美食,0,12,15,4,1
【台中│食記】黃記鵝肉冬粉-大誠總店。遵循古法製成，傳統就是好滋味,1,14,5,5,0
[美食] 春水堂有什麼好吃的呢！(菜單),2,15,12,4,2
台南美食-芯芯要去【西城小棧-吐司袋袋】~獨創紅磚灶台煙囪乾冰鍋|從中午到晚上都有得吃的休憩好去處,3,9,13,2,0
【桃園市】Mr.May義式百匯吃到飽 假日低消只要399+10% 多樣披薩與水果任你吃(二訪心得),1,9,15,2,0
【桃園林口‧食記‧二訪】好食D港式飲茶 近捷運長庚醫院站 附菜單 新品上市,4,12,16,1,0
[台北美食] 板橋下午茶排行榜第一名《Oyami cafe》♥夢幻鬆餅、義大利麵擄獲我的少女心♥ 捷運新埔站走路一分鐘。,1,24,26,4,0
「*開箱*」良實糧食-豬背上的奶酪（人妻的最愛 #499吃到飽）,1,8,7,2,0
【台北車站 食記】Drip Cafe好滴(站前店) 招牌甜點可拿滋讓人一吃就愛上 ,0,8,15,3,0
吃。大安《馥臨港式火鍋 通化店》花雕雞和沙嗲湯頭非常夠味，還有手工大雲吞喔,0,3,13,4,1
台南北區 老李螺肉大王,0,9,8,3,0
握壽司吃到飽 @ 秋料理,2,13,12,5,1
台北車站京站《Moi café》輕食早午餐/下午茶甜點/讓人難以忘懷的美味鬆餅,2,17,16,6,0
我流精緻烤物餐廳 【台中.南屯】,1,4,10,2,1
『高雄。小蒙牛頂級麻辣養生鍋』～無限單點／吃到飽／哈根達斯／鴛鴦鍋,0,3,6,1,0
【台中餐廳】R星咖啡 (R STAR CAFF)-有超萌的店貓陪吃早午餐唷。環境好好拍、輕食野餐盒嘗鮮、寵物友善餐廳,1,7,23,2,0
團購聖品 辦公室和聚會時的必備點心  零食界多出了一位殺手 不吃會後悔莫及！！！  米其林二星零食 酷覓星 糙米捲,2,7,7,3,0
(台南東區)六吋盤早午餐 豐盛平價早餐拼盤選擇,0,9,20,5,0
[美姬食記] 台北老店 內湖重現北平好滋味 都一處 內湖店＠台北市 ＠內湖區 ＠內湖科學園區 ＠港墘站,0,3,8,3,1
《台中南屯》韓系設計風格秘境咖啡館─脈博咖啡MAPPER CAFE,1,8,20,6,1
「王記府城肉粽台北西門店」 --- 簡單質樸料實在的美味小吃,0,13,16,4,1
【桃園市-桃園區】桃園藝文特區親子餐廳「Zooie魔法城堡主題親子館」,0,5,4,2,0
♥台北♥ 中和丼飯【悅勝.丼飯.生魚片.壽司專賣店】，新鮮美味的日本料理！內用還有料多味美的味噌湯免費品嚐！,2,18,10,2,0
呷飽祙【新北石碇･野宴食堂】深山秘境享當令好料,2,11,13,1,0
【美食】台北‧三味食堂‧CP值爆表的鮭魚生魚片,7,22,13,2,0
【宜蘭員山美食】老媽媽 豆腐乳桶仔雞❤️ 養生全雞套餐/手工醬油/酒釀鳳梨豆腐乳。桶仔雞養生新吃法!!!,1,11,10,2,0
"[桃園區]一番地壽喜燒(桃園總店)~大口吃肉就來這,多種肉質可選擇/桃園美食/藝文特區美食/壽喜燒/吃到飽/火鍋/方便停車",0,3,4,2,0
手工製作多種茶口味的千層蛋糕 ~Overture 序曲審計366,0,7,4,2,0
【林口休閒】在電影院吃到飽!?  林口威秀Mappa廳,0,4,8,3,1
桃園。福叁鍋物。價位偏高的火鍋店,0,4,8,1,0
【高雄】溫馨老字號～寬來順早餐店,0,5,13,1,0
【食-桃園區】肉多多火鍋❤四人挑戰100oz霸王龍霜降雪花牛❤大食量肉控不可錯過的暴龍級火鍋❤飲料冰淇淋自助吧,2,3,8,4,0
【台中美食】瘋蝦吃到飽餐廳~搬家囉!,0,6,12,1,2
▌台北 食記▌王品。青花驕 麻辣鍋 ♡ 鴨血、豆腐吃到飽。小朋友也可以吃的麻辣鍋 ♡ 果香系列麻辣鍋。麻、辣度可客製,2,11,10,4,0
【食記】新莊化成路│肥老闆羊肉羹│新莊朋友有福了│口口羊肉的高CP羊肉產品│學生族的最愛,0,4,6,0,0
台中．夠殺夠霸氣的LV級暴衝檸檬塔@Cream Tea,2,16,9,3,0
《桃園大溪》GOGOBOX餐車誌in樂灣基地 可愛的美式鄉村風餐車隱藏版美食,1,7,10,1,1
[高雄] 左營 RAPL澎湃令果-美味蘋果派no.1,0,3,4,0,0
。苗栗食記。飛牛牧場。自然健康歡樂親子同遊好景點,0,2,7,5,0
潔西麻的美食日記─【台北/中正區】觀光客來台必吃的傳統古早味早餐-->阜杭豆漿,0,5,11,2,0
【台中火鍋推薦】拾七石頭火鍋-輕井澤新品牌，又一大器裝潢，石頭火鍋、麻辣鍋、壽喜鍋、和風鍋一次滿足，應該又會造成排隊人潮/台中美食/南屯區/排隊美食/菜單/免服務費,0,5,2,0,0
【員林美食】佔位餐廳★員林老宅改造小餐館~復古文青風★,0,2,8,3,0
高雄鼓山▪鼎好汕頭小火鍋,0,3,4,1,0
【新莊美食】頭前豆漿店|40年老店古早味蛋餅，Q彈口感超越一般傳統粉漿餅皮!!搭配特製粉紅醬料實在涮嘴~新莊早餐推薦@鮪魚的奶奶,0,6,8,2,0
曾氏幸福，忠信市場旁的好味道,0,5,3,0,0
[桃園區．食]星上星港式飲茶(桃園總店)∥品項豐富令人眼花瞭亂，好想全部點一輪啊！,0,5,3,0,0
《肉多多》中壢也開分店了~肉多多集團(肉多多火鍋第一品牌)~中壢中山店~火鍋-中壢肉多多,0,1,2,3,0
"【花蓮市/宅配美食】 在地人推薦, 手工限量 ✿✿ 花崗山剝皮辣椒 ✿✿",1,2,4,1,0
高雄苓雅區鄧記家常牛肉麵在地30年眷村好味道,0,2,4,0,0
[台中x美食] 斗六夜市超人氣水果茶一中街也喝得到囉~新鮮現煮好喝不會膩♥雅淳水果茶 一中店＊北區,0,7,6,0,0
【高雄、左營】高雄巷弄內的深夜食堂-BITCH小姐,0,5,2,0,0
【台中 西屯】逢甲美食，韓國正統年糕鍋『三清洞摩西年糕鍋』(含菜單,0,2,7,1,0
《食記》板橋。捷運府中站【檸檬草美食茶房】貼心２４Ｈ營業，全天候不打烊！愛聊多久就聊多久～,0,6,11,4,0
【高雄】七輪燒肉 巨蛋店│燒肉三響砲！原味、醬燒、辛口任你挑│天冷就是要吃肉啊．桑尼瘦不了,0,5,10,0,0
【食記】↝台中↜ 焼き鳥專門店～鳥苑 地雞燒 Yakitori&Wine,0,9,18,4,0
【陽明山】山林裡的避暑勝地讓心裡跟著微笑~URS27M郊山食間,0,2,5,2,0
【台南美食-永康區】 |左營美食| |永康美食| |奇美醫院| 最美味最到底的餛飩就在《杜桑灶咖》鄰近奇美醫院、南台科技大學,0,6,3,1,1
[享樂零食]---新品推薦 酷覓星coolmix香鬆起司糙米捲,1,11,7,1,0
[台北美食] 泰街頭。泰國街頭小吃攤搬進餐廳裡，平民小吃CP值高 // 公館.捷運台電大樓站.台大商圈,1,9,12,0,0
{食記}{台南}{麻豆}八方雲集鍋貼水餃專賣店,0,1,9,2,0
【新竹。竹北】NIKKO Soymilk翻轉傳統中式早餐  豆漿Q饅堡/燒餅/板烤豆漿吐司/抹茶豆漿─日光豆漿,0,5,7,3,0
湯蒸火鍋-羅東林場鐵道店▋新鮮肉品與海鮮，在地蔬食好滋味，平實的價格與舒適的環境，好停車最方便,0,1,4,1,0
[台北美食] 開封包公府的私房麵（食尚玩家 隱藏巷子內好料 雙連蕃茄麵）,0,3,4,0,0
《高雄三民》黑沃咖啡-平價咖啡創造不凡質感,0,2,3,1,0
【台南美食】一番地到台南囉！無湯的火鍋 x 有湯的燒烤│大口吃肉質滿分壽喜燒│Prime、Choice等級牛肉讓你吃到飽！,0,5,9,3,0
【高鐵美食】MIRUKU 十勝牛奶鍋專門店 環球左營店 北海道濃厚系の牛奶鍋物,1,6,5,1,0
[食記] 新北市板橋 ‧ 八色烤肉板橋三號店！韓國知名品牌新開幕（近板橋火車站、板橋捷運站）,0,6,12,3,0
[義式][東京][吉祥寺] スパ吉（SPAKICHI）｜和風現做手工義大利麵｜10分鐘內要吃完的超濃郁肉醬義大利麵,0,5,7,1,0
台南早餐吐司吐司｜薯泥起司蛋餅超邪惡、芝麻豆漿健康！附菜單,2,12,13,0,0
[內湖早午餐]Marcus老倉庫：工業風大空間．早午餐／漢堡／義大利麵,0,4,5,1,0
★【高雄左營】天水玥秘境鍋物殿。酒肉穿腸過，佛祖心中留！佛前大口吃肉！超詳細介紹!(附MENU),0,4,13,4,0
新北泰山餐廳~港龘港式/歐式百匯餐廳 泰山店 港點吃到飽,0,6,8,0,0
"食記│新北三芝│Le Coq 公雞咖啡, 淺水灣的復古雜貨咖啡廳",1,8,16,4,0
[食記推薦] [台北市–大安區] 泰街頭 / 呈現泰國街頭小吃經典 學生 平價 泰式料理 公館美食 台大周邊美食 特色餐廳,0,9,12,0,0
豬豬呀～你怎麼敢把起士背在身上呢？,0,5,1,2,0
岡山豐晟羊肉火鍋,0,1,3,0,0
[台中燒烤店] 好客-無煙海鮮炭火燒肉 /燒烤吃到飽 /台中西屯區老虎城,0,5,10,3,0
嘉義食記『菊鍋』人氣火鍋店,0,2,8,3,0
【桃園新屋食記】擁有峇里島風情的莫內咖啡,0,5,14,2,0
【竹北 早午餐 】豐滿早午餐 全新開幕 選擇多 份量足 ,0,4,9,2,0
台北美食【三上咖哩】挑戰巨無霸咖哩成功免費吃！台北東區咖哩。日式餐廳。咖哩飯。炸雞。捷運忠孝復興美食,1,15,17,1,0
【台中西屯】Hide&Seek嘻遊聚親子餐廳~德國HABA頂級無毒遊具~球池滑梯~親切有禮的服務~位於中科商圈米平方商場~,4,14,15,2,0
【台北。食記】燒肉/冰淇淋/飲料吃喝到飽。桌邊服務創意料理 ─ 潮肉壽喜燒(忠孝店),0,7,14,1,0
【桃園大園 | 景觀咖啡廳】體驗飛機近距離飛越頭頂的震撼✈第三航廈咖啡廳,4,11,11,0,0
中壢美食❤LE BLE D'OR 金色三麥/中壢SOGO店/酥炸椒麻雞+德國豬腳+世界級的現釀啤酒/ 金色三麥二代店/金色三麥菜單跟價格/A21環北站/4/27新開幕,0,11,17,4,0
高雄三民《SOTO日本家庭料理-聯興店》生魚片大口吃到飽,7,13,10,3,0
[食記] 台北信義北醫附近原汁原味簡單就很香的 - 大馬肉骨茶,0,4,8,1,1
這咖啡廳美的像幅畫！韓妞最愛的IG打卡店：「首爾主義咖啡廳」看著樂天世界塔發呆好幸福 －서울리즘／Seoulism,2,4,5,4,2
【分享】寧夏夜市每逛必吃口袋名單！,1,22,5,5,0
東京櫻之熱-利久牛舌、無敵家、阿夫利、Kashiyama烏龍麵,0,6,11,4,0
[食記] 國父紀念館站美食✬大大滿足的加州美式海鮮☺ The Shrimp Daddy 蝦老爹美食海鮮,5,8,5,4,0
北車 Jap Jap Bikini CAFE BAR咖啡餐酒館-大盤子早午餐in美國海洋風美式餐廳/早午餐.下午茶.精釀啤酒(完整菜單menu),0,7,10,3,0
桃園。龍潭美食│無名米甘。隱藏眷村美食 . 年過近一甲子不變的家鄉味,3,6,2,5,0
有媽媽味道的肉粽~傻瓜肉粽,1,3,7,3,0
[竹北] 道地台南味的台南米糕和碗粿，好記台南美食,4,6,3,3,0
【基隆必吃】在地人隱藏版美食,9,18,0,0,0
台南永康 公牛隊美式牛排~單點主餐..琳瑯滿目的鹹食.水果一堆堆的沙拉吧吃到飽 無限量供應!!,2,6,4,3,0
台北東區 ✖《鑰匙行The Key Company 》解謎找對鑰匙才能進去的秘密小酒館【捷運忠孝敦化站】,4,10,3,0,0
(食)員林 小醬臭豆腐古早麵 臭豆腐有推,3,6,2,2,0
「食記」台北。信義區－欣葉101食藝軒。台北101大樓的景觀餐廳,0,5,12,6,0
